name,lat,lon,city,type,address,type_of_place,distance_from_company
Bar VIA,37.77927,-122.390797,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.77927, -122.390797]}}","138 King St (btwn 2nd St & 3rd St), San Francisco, CA 94107",Bar,0.2601015509400217
Bravado Italian Coffee Bar and Lounge,37.778826,-122.391488,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.778826, -122.391488]}}","170 King St (at 3rd St.), San Francisco, CA 94107",Bar,0.2924336440577366
California Wine Bar,37.778625,-122.390257,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.778625, -122.390257]}}","101 King St, San Francisco, CA 94107",Bar,0.3392717585936984
Field Club Bar,37.77862,-122.389899,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.77862, -122.389899]}}","24 Willie Mays Plz, San Francisco, CA 94107",Bar,0.3254911942064161
The Bar San Francisco,37.77888,-122.392495,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.77888, -122.392495]}}","701 3rd St (Townsend), San Francisco, CA 94107",Bar,0.35925931132828387
Kaiyo Rooftop,37.778736,-122.39237,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.778736, -122.39237]}}","701 3rd St, San Francisco, CA 94107",Bar,0.3811692701110446
Cable Car Bar,37.778403,-122.389312,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.778403, -122.389312]}}","24 Willie Mays Plz (at AT&T Park), San Francisco, CA 94107",Bar,0.42665910601648654
Alchemist Bar & Lounge,37.779264,-122.393019,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.779264, -122.393019]}}","679 3rd St (Townsend St), San Francisco, CA 94107",Bar,0.41416709135709157
The Ketel One Bar,37.778338,-122.388448,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.778338, -122.388448]}}","24 Willie Mays Plz, San Francisco, CA 94107",Bar,0.4528711778861794
baR/GA,37.781649,-122.393446,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.781649, -122.393446]}}","35 S Park St, San Francisco, CA 94107",Bar,0.45425537178351655
Champions Bar,37.776143,-122.389394,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.776143, -122.389394]}}","100 Terry A Francois Blvd (3rd Street), San Francisco, CA 94158",Bar,0.5202314501719721
Hakashi Japanese Sushi Bar & Grill,37.78147,-122.396232,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.78147, -122.396232]}}","474 3rd St, San Francisco, CA 94107",Bar,0.49220720522817496
Whispers Bar & Grill,37.786131,-122.396793,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.786131, -122.396793]}}","299 2nd St (at Folsom), San Francisco, CA 94105",Bar,0.5560712374550706
Red's Java House,37.787229,-122.387383,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.787229, -122.387383]}}","551 the Embarcadero (at Bryant St), San Francisco, CA 94105",Bar,0.5555393610851007
The Bar,37.770906,-122.390377,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.770906, -122.390377]}}","601 Mission Bay Blvd N (4th Street), San Francisco, CA 94158",Bar,0.5609119268870348
B Restaurant & Bar,37.784487,-122.401643,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.784487, -122.401643]}}","720 Howard St (btw 4th & 5th), San Francisco, CA 94103",Bar,0.5809798203796387
Natoma Cabana,37.787524,-122.398667,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.787524, -122.398667]}}","90 Natoma St (at 2nd St), San Francisco, CA 94105",Bar,0.599131124399779
W6 Coffee Bar,37.790172,-122.389646,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.790172, -122.389646]}}","345 Spear St (Folsom), San Francisco, CA 94105",Bar,0.6543024205902415
Novela,37.787133,-122.401225,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.787133, -122.401225]}}","662 Mission St (at Annie St), San Francisco, CA 94105",Bar,0.760377589144292
InterContinental Bar,37.782009,-122.404579,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.782009, -122.404579]}}","888 Howard St, San Francisco, CA 94103",Bar,0.7985543148420513
Mars Bar & Restaurant,37.773254,-122.4032,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.773254, -122.4032]}}","798 Brannan St (at 7th St), San Francisco, CA 94103",Bar,0.8778590686474346
83 Proof,37.790083,-122.397671,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.790083, -122.397671]}}","83 1st St (btwn Market & Mission), San Francisco, CA 94105",Bar,0.8730963384634406
The Lark Bar,37.787251,-122.403096,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.787251, -122.403096]}}","29 3rd St (Market), San Francisco, CA 94103",Bar,0.8746502689510439
Kona's Street Market,37.787127,-122.403447,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.787127, -122.403447]}}","32 3rd St, San Francisco, CA 94103",Bar,0.8451198042008647
Louie's Bar,37.789605,-122.39965,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.789605, -122.39965]}}","55 Stevenson St (at 1st St), San Francisco, CA 94105",Bar,0.9392948894089623
Executive Order Bar & Lounge,37.78338,-122.405879,San Francisco,"{'typepoint': {'type': 'Point', 'coordinates': [37.78338, -122.405879]}}","868 Mission St, San Francisco, CA 94103",Bar,1.005970725387904
